run_accession	sample_accession	sample_title	fastq_ftp
ERR011063	SAMEA732176		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011063/ERR011063.fastq.gz
ERR011064	SAMEA732193		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011064/ERR011064.fastq.gz
ERR011066	SAMEA732181		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011066/ERR011066.fastq.gz
ERR011070	SAMEA732178		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011070/ERR011070.fastq.gz
ERR011071	SAMEA732189		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011071/ERR011071.fastq.gz
ERR011072	SAMEA732184		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011072/ERR011072.fastq.gz
ERR011077	SAMEA732192		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011077/ERR011077.fastq.gz
ERR011079	SAMEA732179		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011079/ERR011079.fastq.gz
ERR011083	SAMEA732204		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011083/ERR011083.fastq.gz
ERR011085	SAMEA732185		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011085/ERR011085.fastq.gz
ERR011086	SAMEA732203		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011086/ERR011086.fastq.gz
ERR011058	SAMEA732199		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011058/ERR011058.fastq.gz
ERR011059	SAMEA732196		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011059/ERR011059.fastq.gz
ERR011060	SAMEA732197		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011060/ERR011060.fastq.gz
ERR011061	SAMEA732198		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011061/ERR011061.fastq.gz
ERR011065	SAMEA732191		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011065/ERR011065.fastq.gz
ERR011067	SAMEA732186		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011067/ERR011067.fastq.gz
ERR011069	SAMEA732190		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011069/ERR011069.fastq.gz
ERR011073	SAMEA732183		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011073/ERR011073.fastq.gz
ERR011074	SAMEA732194		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011074/ERR011074.fastq.gz
ERR011075	SAMEA732202		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011075/ERR011075.fastq.gz
ERR011076	SAMEA732187		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011076/ERR011076.fastq.gz
ERR011078	SAMEA732182		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011078/ERR011078.fastq.gz
ERR011080	SAMEA732200		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011080/ERR011080.fastq.gz
ERR011081	SAMEA732188		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011081/ERR011081.fastq.gz
ERR011062	SAMEA732201		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011062/ERR011062.fastq.gz
ERR011068	SAMEA732195		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011068/ERR011068.fastq.gz
ERR011082	SAMEA732180		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011082/ERR011082.fastq.gz
ERR011084	SAMEA732177		ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011084/ERR011084.fastq.gz
